Data Order,Data Size,Algorithm,Running Time (ms),Comparisons
Randomize,10000,selection-sort,56.029,100009999
Randomize,10000,insertion-sort,38.161,30000
Randomize,10000,bubble-sort,159.467,20001
Randomize,10000,shaker-sort,146.941,20002
Randomize,10000,shell-sort,1.056,360042
Randomize,10000,heap-sort,1.68,531890
Randomize,10000,merge-sort,2.874,475242
Randomize,10000,quick-sort,0.875,249021
Randomize,10000,counting-sort,0.174,60001
Randomize,10000,radix-sort,1.348,140056
Randomize,10000,flash-sort,0.261,113738
Randomize,30000,selection-sort,516.65,900029999
Randomize,30000,insertion-sort,347.047,90000
Randomize,30000,bubble-sort,1460.07,60001
Randomize,30000,shaker-sort,1273.16,60002
Randomize,30000,shell-sort,4.07,1170050
Randomize,30000,heap-sort,4.935,1782832
Randomize,30000,merge-sort,9.547,1559914
Randomize,30000,quick-sort,3.021,842874
Randomize,30000,counting-sort,0.47,180001
Randomize,30000,radix-sort,5.13,510070
Randomize,30000,flash-sort,0.806,340522
Randomize,50000,selection-sort,1442,2500049999
Randomize,50000,insertion-sort,951.384,150000
Randomize,50000,bubble-sort,4098.85,100001
Randomize,50000,shaker-sort,3714.8,100002
Randomize,50000,shell-sort,6.907,2100049
Randomize,50000,heap-sort,9.843,3129808
Randomize,50000,merge-sort,16.116,2722826
Randomize,50000,quick-sort,5.673,1485241
Randomize,50000,counting-sort,0.683,265537
Randomize,50000,radix-sort,8.061,850070
Randomize,50000,flash-sort,1.182,554770
Randomize,100000,selection-sort,5786.41,10000099999
Randomize,100000,insertion-sort,3938.03,300000
Randomize,100000,bubble-sort,26039.3,200001
Randomize,100000,shaker-sort,27831.4,200002
Randomize,100000,shell-sort,15.307,4500051
Randomize,100000,heap-sort,18.801,6661577
Randomize,100000,merge-sort,33.862,5745658
Randomize,100000,quick-sort,11.923,3243460
Randomize,100000,counting-sort,0.98,465537
Randomize,100000,radix-sort,16.315,1700070
Randomize,100000,flash-sort,2.234,1036662
Randomize,300000,selection-sort,79174.4,90000299999
Randomize,300000,insertion-sort,38176.3,900000
Randomize,300000,bubble-sort,322396,600001
Randomize,300000,shaker-sort,291061,600002
Randomize,300000,shell-sort,56.008,15300061
Randomize,300000,heap-sort,65.966,21866838
Randomize,300000,merge-sort,111.088,18645946
Randomize,300000,quick-sort,36.595,12035536
Randomize,300000,counting-sort,2.517,1265537
Randomize,300000,radix-sort,50.866,5100070
Randomize,300000,flash-sort,14.344,2927277
Randomize,500000,selection-sort,235315,2.5E+11
Randomize,500000,insertion-sort,150747,1500000
Randomize,500000,bubble-sort,1.04E+06,1000001
Randomize,500000,shaker-sort,786296,1000002
Randomize,500000,shell-sort,96.414,25500058
Randomize,500000,heap-sort,122.131,37567357
Randomize,500000,merge-sort,186.839,32017850
Randomize,500000,quick-sort,65.577,23408133
Randomize,500000,counting-sort,2.886,2065537
Randomize,500000,radix-sort,82.875,8500070
Randomize,500000,flash-sort,17.335,4813286
Nearly sorted,10000,selection-sort,60.636,100009999
Nearly sorted,10000,insertion-sort,0.103,30000
Nearly sorted,10000,bubble-sort,59.023,20001
Nearly sorted,10000,shaker-sort,0.379,20002
